Occupation7,,,,
Civilian Occupations,,,,
"Merchant wholesalers, durable goods", 	89 ,"3,646",4.9,
"Machinery, equipment, and supplies, merchant wholesalers     ", 	27 ,722,7.5,
Recyclable material merchant wholesalers, 	18 ,200,18.0,
"Merchant wholesalers, nondurable goods", 	95 ,"3,826",5.0,
"Groceries and related products, merchant wholesalers ", 	26 ,"1,711",3.0,
Retail trade, 	311 ,"27,402",2.2,
Motor vehicle and parts dealers, 	48 ,"3,628",2.6,
Automobile dealers , 	27 ,"2,351",2.3,
Building material and garden equipment and supplies dealers, 	32 ,"2,624",2.4,
Food and beverage stores, 	79 ,"5,213",3.0,
Grocery stores , 	64 ,"4,542",2.7,
Gasoline stations , 	52 ,808,12.9,
Miscellaneous store retailers, 	19 ,"1,879",1.8,
Nonstore retailers, 	15 ,911,3.3,
Transportation and warehousing     , 	661 ,"9,591",13.7,
Air transportation , 	32 ,926,6.5,
Rail transportation , 	17 ,502,6.8,
Truck transportation , 	416 ,"3,584",23.2,
Transit and ground passenger transportation, 	63 ,"1,082",11.6,
Bus service and urban transit , 	16 ,524,6.1,
Taxi and limousine service , 	47 ,558,16.8,
Support activities for transportation , 	67 ,"1,308",10.1,
Couriers and messengers, 	27 ,"1,155",4.7,
Warehousing and storage , 	20 ,731,5.2,
Utilities, 	26 ,"1,883",2.8,
Information , 	43 ,"5,768",1.5,
Financial activities, 	113 ,"17,694",1.3,
Finance and insurance, 	24 ,"12,826",0.4,
Real estate and rental and leasing, 	89 ,"4,885",3.6,
Real estate , 	63 ,"4,111",3.1,
Rental and leasing services, 	26 ,772,6.7,
Professional and business services, 	364 ,"27,893",2.6,
"Professional, scientific, and technical services", 	76 ,"17,263",0.9,
"Architectural, engineering, and related services ", 	29 ,"2,808",2.1,
"Management, administrative, and waste services", 	288 ,"10,611",5.3,
Employment services , 	19 ,"1,535",2.3,
Investigation and security services , 	34 ,"1,531",4.4,
Services to buildings and dwellings (except landscaping services) , 	38 ,"2,209",3.3,
Landscaping services, 	133 ,"1,969",13.1,
Waste management and remediation services , 	52 ,811,12.8,
Educational and health services, 	171 ,"37,986",0.9,
Educational services, 	30 ,"7,088",0.8,
Health care and social assistance, 	141 ,"30,930",0.9,
Ambulatory health care services, 	61 ,"11,747",1.0,
Hospitals , 	24 ,"10,174",0.5,
Nursing and residential care facilities, 	21 ,"4,307",1.0,
Social assistance, 	33 ,"4,650",1.2,
Leisure and hospitality, 	238 ,"19,646",2.3,
"Arts, entertainment, and recreation", 	84 ,"4,196",3.6,
"Performing arts, spectator sports, and related industries", 	47 ,"1,270",6.5,
"Amusement, gambling, and recreation industries (except bowling centers)  ", 	34 ,"2,626",2.6,
Accommodation and food services, 	154 ,"15,441",2.0,
Accommodation , 	32 ,"2,536",2.4,
Traveler accommodation , 	23 ,"2,346",2.0,
Food services and drinking places, 	122 ,"12,923",1.9,
Restaurants and other food services , 	94 ,"12,522",1.5,
Drinking places (alcoholic beverages), 	28 ,405,13.8,
Other services (except public administration), 	192 ,"11,817",3.0,
Repair and maintenance, 	117 ,"3,798",6.1,
Automotive repair and maintenance (except car washes), 	70 ,"2,323",6.0,
Personal and laundry services, 	39 ,"3,836",2.0,
"Religious, grantmaking, civic, professional, and similar organizations", 	35 ,"3,268",1.5,
Government10, 	484 ,"38,074",2.2,
Federal government, 	101 ,"7,021",1.6,
State government, 	109 ,"11,398",1.9,
Local government, 	269 ,"19,648",2.5,
