Occupation7,,,,,
Civilian Occupations,,,,,
"Independent artists, performing arts, spectator sports, and related industries",45,"1,229",5.9,,
"Amusement, gambling, and recreation industries (except bowling centers)  ",30,"2,396",2.5,,
Accommodation and food services,185,"15,878",2.3,,
Accommodation ,39,"2,794",2.7,,
Traveler accommodation ,36,"2,624",2.7,,
Food services and drinking places,146,"13,096",2.2,,
Restaurants and other food services ,115,"12,661",1.8,,
Drinking places (alcoholic beverages),31,450,13.8,,
Other services (except public administration),183,"12,599",2.8,,
Automotive repair and maintenance (except car washes),71,"2,511",5.7,,
Personal and laundry services,29,"3,741",1.6,,
"Religious, grantmaking, civic, professional, and similar organizations",35,"3,392",1.7,,
Government10,520,"37,058",2.4,,
Federal government,122,"6,545",2.1,,
State government,112,"11,107",2.0,,
Local government,277,"19,335",2.6,,
