"Some of the published fatal occupational injuries, injury rates, and the total hours worked for selected occupations, industries, and a race/ethnic ",,,,
"origin category were improperly calculated for 2006 to 2015. For details on the affected rates and products, please visit",,,,
http://www.bls.gov/bls/errata/cfoi-errata-2016.htm.,,,,
This document has been revised with the corrected figures.,,,,
,,,,
"Fatal occupational injuries, total hours worked, and rates of fatal occupational injuries by selected",,,,
"worker characteristics, occupations, and industries, civilian workers, 2015",,,,
Characteristic,Total fatal injuries1,Total hours worked2     (millions),Fatal injury rate3,
"Performing arts, spectator sports, and related industries",49,"1,428",6.4,
"Amusement, gambling, and recreation industries (except bowling centers)  ",29,"2,898",1.9,
Accommodation and food services,143,"17,483",1.6,
Accommodation ,25,"2,852",1.7,
Traveler accommodation ,20,"2,699",1.5,
Food services and drinking places,118,"14,649",1.6,
Restaurants and other food services ,100,"14,275",1.4,
Drinking places (alcoholic beverages),18,384,9.4,
Other services (except public administration),202,"12,656",3.0,
Repair and maintenance,125,"4,080",6.1,
Automotive repair and maintenance (except car washes),76,"2,546",5.9,
Personal and laundry services,40,"3,886",2.1,
"Religious, grantmaking, civic, professional, and similar organizations",35,"3,547",1.3,
Government10,457,"37,885",1.9,
Federal government,118,"6,980",1.3,
State government,81,"12,721",1.3,
Local government,257,"18,198",2.6,
,,,,
"     1 Workers under the age of 16 years, volunteer workers, and members of the resident military are not included in rate calculations to ",,,,
maintain consistency with the Current Population Survey (CPS) employment.  The total fatal injuries column represents total published ,,,,
fatal injuries before the exclusions.,,,,
"     2 The total hours worked figures are annual average estimates of total at work multiplied by average hours for civilians, 16 years of",,,,
"age and older, from the CPS, 2015.",,,,
"     3 The rate represents the number of fatal occupational injuries per 100,000 full-time equivalent workers and was calculated as:",,,,
"(N/EH) x 200,000,000 where",,,,
     N                  = the number of fatal work injuries ,,,,
     EH                = total hours worked by all employees during the calendar year,,,,
"     200,000,000 = base for 100,000 equivalent full-time workers (working 40 hours per week, 50 weeks per year)",,,,
     4 May include volunteers and workers receiving other types of compensation.,,,,
"     5 Includes self-employed workers, owners of unincorporated businesses and farms, paid and unpaid family workers, and may include",,,,
 some owners of incorporated businesses or members of partnerships.,,,,
     6 Persons identified as Hispanic or Latino may be of any race.  The race categories shown exclude data for Hispanics and Latinos.,,,,
"     7 Occupation data are based on the Standard Occupational Classification (SOC) system, 2010.",,,,
"     8 Industry data are based on the North American Industry Classification System (NAICS), 2012.",,,,
"     9 Includes fatal injuries at all establishments categorized as Mining, Quarrying, and Oil and Gas Extraction (Sector 21) in the North ",,,,
"American Industry Classification System, including establishments not governed by the Mine Safety and Health Administration (MSHA) ",,,,
"rules and reporting, such as those in Oil and Gas Extraction.",,,,
     10 Includes fatal injuries to workers employed by governmental organizations regardless of industry.,,,,
"Note: Selected rate categories had 15 or more reported fatal work injuries in 2015 and 40 million or more work hours (20,000 full-time ",,,,
equivalent employees).  Rates produced in other years may not appear if they do not meet this threshold in 2015.  Totals for major ,,,,
categories may include subcategories not shown separately.  Figures may not add to totals because of rounding.  CFOI ,,,,
fatality counts exclude illness-related deaths unless precipitated by an injury event.  ,,,,
"Source:  U.S. Bureau of Labor Statistics, Current Population Survey, Census of Fatal Occupational Injuries, 2020.",,,,
