Timestamp,Company Name,Position Title,Position Type,Location,Base Salary,Salary Frequency,Housing Stipend,Signing Bonus,Stock Bonuses/Benefits,Stock Vesting Schedule Details,Additional Benefits,Did You Negotiate the Offer?,Did You Accept the Offer?,Time Frame From First Interview Invitation to Offer in Weeks,Sex,Degree Level,Last Year of College,Last School Attended,Major,Additional Information,Monthly Salary,Annualized Salary,Bonuses per Year,Annualized Recurring Renumeration (inc. stock),Recurring Renumeration per Month,totalcomp
11/27/2015 10:34:37,Dropbox,Software Engineering,Intern,San Francisco,9000,Per Month,,,,,"Corporate housing in SoMa, 2 interns/bedroom, best food in Bay Area.",No,Yes,2,Male,Bachelors,Junior,University of Waterloo,Computer Science,Got +0.5k/month for being a return intern,"9,000","108,000",0,"108,000","9,000","108,000"
11/28/2015 13:14:08,Dropbox,Software Engineering Intern,Intern,"San Francisco, CA",7500,Per Month,,,,,corporate housing and meals,No,Yes,,Male,Bachelors,Junior,,,,"7,500","90,000",0,"90,000","7,500","90,000"
11/25/2015 14:18:05,Ebay,,Intern,"San Fransisco, CA",31,Per Hour,,,,,free housing within walking distance,Yes,No,,Female,Bachelors,Sophomore,,,,"5,373","64,480",0,"64,480","5,373","64,480"
11/25/2015 14:30:46,Enova,,Intern,"Chicago, IL",30,Per Hour,0,"3,000",,,,No,No,3,Male,Bachelors,Junior,UIUC,CS,,"5,200","62,400",0,"62,400","5,200","65,400"
11/27/2015 4:35:44,Epic,Software Engineering Intern,Intern,"Madison, Wisconsin",6000,Per Month,800,500,,,,No,Yes,2,Male,Bachelors,Junior,,Computer Science,,"6,000","72,000","9,600","81,600","6,800","82,100"
11/25/2015 17:17:26,Facebook,Software Engineer,Full Time,"Menlo Park, CA","110,000",Annually,,100000,150000,4 years,"Gym, Free breakfast, lunch, dinner, etc., just great perks all around",Yes,Yes,6,Male,Bachelors,Senior,,CS,,"9,167","110,000","37,500","147,500","12,292","247,500"
11/27/2015 17:01:27,Facebook,Software Engineer,Full Time,"Menlo Park, CA",105000,Annually,,75000,150000,,,Yes,Still considering,,Female,Bachelors,Senior,Georgia Tech,Computer Science,,"8,750","105,000","37,500","142,500","11,875","217,500"
11/28/2015 18:03:59,Facebook,Software Engineer,Full Time,"Menlo Park, CA",105000,Annually,,75000,150000,4 years,,No,Yes,,Male,Bachelors,Senior,,Computer Science,,"8,750","105,000","37,500","142,500","11,875","217,500"
12/3/2015 6:43:04,Facebook,Software Engineer,Full Time,"Menlo Park, CA",105000,Annually,,100000,160000,4 year vesting schedule with 1 year cliff,,Yes,Yes,12,Male,Bachelors,Graduate,UC Berkeley,EECS,,"8,750","105,000","40,000","145,000","12,083","245,000"
12/3/2015 6:43:11,Facebook,Software Engineer,Full Time,"Menlo Park, CA",105000,Annually,,100000,160000,4 year vesting schedule with 1 year cliff,,Yes,Yes,12,Male,Bachelors,Graduate,UC Berkeley,EECS,,"8,750","105,000","40,000","145,000","12,083","245,000"
11/30/2015 19:44:01,Facebook,Software Engineer Intern,Intern,California,8000,Per Month,1000,0,0,0,,No,Yes,5,Male,Bachelors,Junior,CMU,CS,,"8,000","96,000","12,000","108,000","9,000","108,000"
11/25/2015 15:36:04,Facebook,SWE,Intern,Menlo park,"8,000",Per Month,"2,000",,,,,No,Still considering,,Male,Bachelors,Sophomore,Ivy League,Computer Science,,"8,000","96,000","24,000","120,000","10,000","120,000"
12/4/2015 20:46:16,facebook,swe,Intern,menlo park,8400,Per Month,1000,,,,"round trip flight, 300 for shipping costs, corporate housing/stipend, free bike",No,Yes,7,Female,Bachelors,Senior,southeast state school ,computer science,"12 weeks, project/team will get picked a few weeks before the internship","8,400","100,800","12,000","112,800","9,400","112,800"
11/25/2015 15:29:07,Facebook,SWE Intern,Intern,"Menlo Park, CA","8,000",Per Month,"1,000",,,,,No,Yes,3,Female,Bachelors,Junior,University of Michigan,Computer Science,,"8,000","96,000","12,000","108,000","9,000","108,000"
11/25/2015 15:33:37,Facebook,SWE Intern,Intern,"Menlo park, CA, USA","8,000",Per Month,"1,500",,,,"Std Facebook perks (corporate housing, free food, laptop, phone, gym, etc)",No,Still considering,4,Male,Bachelors,Junior,Ivy,Cs,,"8,000","96,000","18,000","114,000","9,500","114,000"
11/25/2015 20:20:08,Facebook,SWE Intern,Intern,Seattle,"8,400",Per Month,,,,,,No,Yes,,Male,Masters,Senior,University of Michigan,CS,,"8,400","100,800",0,"100,800","8,400","100,800"
12/3/2015 14:28:04,Facebook,SWE Intern,Intern,Menlo Park,8000,Per Month,,,,,Provided housing & flight,No,Yes,4,Female,Bachelors,Junior,Southeast state school,CS,,"8,000","96,000",0,"96,000","8,000","96,000"
11/25/2015 14:03:25,Facebook,,Intern,Seattle,"8,000",Per Month,850,,,,,No,Yes,1,Male,Bachelors,Junior,University of Michigan,Computer Science,,"8,000","96,000","10,200","106,200","8,850","106,200"
11/25/2015 14:07:18,Facebook,,Full Time,California,"105,000",Annually,,"75,000","100,000",,,,,,Female,Bachelors,Senior,,,,"8,750","105,000","25,000","130,000","10,833","205,000"
11/25/2015 14:14:54,Facebook,,Intern,"Menlo Park, CA","8,000",Per Month,,350,,,"Relocation (not limited),
Free meals,
Free housing,
",No,Still considering,5.5,Male,Bachelors,Middler (3/5 years),Northeastern University,Computer Science,"2 phone interviews
12 or 16 week internship, depending on school
Team matching occurs ~6 weeks before internship starts","8,000","96,000",0,"96,000","8,000","96,350"
11/25/2015 14:16:17,Facebook,,Full Time,"Menlo Park, CA","100,000",Annually,,"40,000","60,000",4 years with 1 year cluff,"Free food, free onsite gym, wellness benefit",Yes,No,12,Male,Bachelors,Senior,Non-Ivy top private school,"Computer Science, Finance",,"8,333","100,000","15,000","115,000","9,583","155,000"
11/25/2015 14:18:26,Facebook,,Intern,"Menlo Park, CA","8,200",Per Month,"1,000",0,0,,,No,No,,Male,Masters,Senior,,,,"8,200","98,400","12,000","110,400","9,200","110,400"
11/25/2015 14:49:14,Facebook ,software engineering intern,Intern,Seattle ,"8,000",Per Month,"1,000",,,,,No,Yes,,Female,Bachelors,Sophomore,Public state school ,computer science ,,"8,000","96,000","12,000","108,000","9,000","108,000"
11/25/2015 17:58:40,FitBit,Software Engineer Intern,Intern,Boston,44,Per Hour,,,,,,No,Yes,,Male,Bachelors,Sophomore,Georgia Tech,Computer Science,,"7,627","91,520",0,"91,520","7,627","91,520"
11/25/2015 14:40:19,FitBit,Software Engineering Intern,Intern,"San Francisco, CA","7,000",Per Month,0,0,0,0,Paid Corporate Housing,Prefer not to disclose,Yes,4,Male,Bachelors,Sophomore,Midwestern State School,Computer Science,,"7,000","84,000",0,"84,000","7,000","84,000"
11/25/2015 14:05:28,Foursquare,,Intern,SF/NYC,"7,000",Per Month,,"5,000",,,,Yes,No,10,Female,Bachelors,Junior,RIT,CS,,"7,000","84,000",0,"84,000","7,000","89,000"
11/25/2015 14:38:56,General Electric,Electrical Engineering Intern,Intern,"Erie, PA",23,Per Hour,,,,,Housing provided.,No,Still considering,0.5,Male,Bachelors,Sophomore,Carnegie Mellon University,Electrical and Computer Engineering,,"3,900","46,800",0,"46,800","3,900","46,800"
12/3/2015 16:17:30,General Motors,Software Engineer,Full Time,"Austin, TX",60000,Annually,,0,0,0,,No,Yes,2,Male,Bachelors,Super Senior,Texas Tech University,Computer Science ,,"5,000","60,000",0,"60,000","5,000","60,000"
11/25/2015 19:58:29,GitHub,Software Engineering Intern,Intern,California,"6,400",Per Month,1000,,,,,No,Still considering,,Male,Bachelors,Sophomore,,Computer Science,,"6,400","76,800","12,000","88,800","7,400","88,800"
11/25/2015 14:34:26,Goldman Sachs,Summer Analyst Technology,Intern,NYC,"75,000",Annually,"1,500",,,,1000 travel,No,Yes,,Female,Bachelors,Sophomore,,,,"6,250","75,000","18,000","93,000","7,750","93,000"
11/27/2015 17:11:42,Goldman Sachs,TMT Investment Banker,Full Time,San Francisco,90000,Annually,,10000,60000,,,Yes,Still considering,,Male,Bachelors,Senior,University of Chicago,Economics,,"7,500","90,000","60,000","150,000","12,500","160,000"
11/27/2015 16:54:46,Google,APM,Full Time,Mountain View,120000,Annually,,7500,187000,4 Years,,No,Yes,7,Male,Bachelors,Senior,NYU,Math/CS,Interned previously at Google,"10,000","120,000","46,750","166,750","13,896","174,250"
11/25/2015 16:05:12,Google,BOLD Intern,Intern,California,26,Per Hour,"3,000",,,,"Free meals, snacks, gym membership, bus transport to work",Prefer not to disclose,Yes,4,Prefer Not to Disclose,Bachelors,Junior,New England Private School,Economics,,"4,507","54,080","36,000","90,080","7,507","90,080"
12/3/2015 0:16:42,Google,Engineer Resident,Full Time,NYC,89970,Annually,,0,0,,"potential 5000 performance bonus, 3500 relocation bonus",No,No,12,Female,Masters,Graduate,University of Western Ontario,Computational Biochemistry,This position is for 1 year.,"7,498","89,970",0,"89,970","7,498","89,970"
11/25/2015 15:31:48,Google,Engineering Practicum,Intern,US,29,Per Hour,"3,000",,,,Typical Google perks,No,Yes,4,Female,Bachelors,Sophomore,US News Top 20,CS,,"5,027","60,320","36,000","96,320","8,027","96,320"
11/27/2015 16:59:29,Google,SDE,Full Time,NYC,110000,Annually,,,187000,,,No,Still considering,8,Male,Masters,Graduate,NYU,CS,,"9,167","110,000","46,750","156,750","13,063","156,750"
11/25/2015 20:17:27,Google,Software engineer,Full Time,"Mountain View, CA","110,000",Annually,,20000,187000,4 years vesting schedule with 1 year cliff,"Google perks, 15 days of pto",No,Yes,16,Female,Masters,Graduate,Texas public college,Electrical engineering,,"9,167","110,000","46,750","156,750","13,063","176,750"
11/27/2015 17:14:15,Google,Software Engineer,Full Time,"Mountain View, CA",105000,Annually,,22500,187000,,,Yes,Still considering,2,Female,Bachelors,Senior,Private University,Computer Science,,"8,750","105,000","46,750","151,750","12,646","174,250"
12/3/2015 6:45:37,Google,Software Engineer,Full Time,"Mountain View, CA",105000,Annually,,50000,286000,4 year vesting schedule with 1 year cliff,,No,No,12,Male,Bachelors,Graduate,UC Berkeley,EECS,,"8,750","105,000","71,500","176,500","14,708","226,500"
11/26/2015 20:59:51,Google,Software Engineering Intern,Intern,Mountain View,6667,Per Month,3000,,,,,No,No,,Male,Bachelors,Sophomore,UT Austin,Computer Science,,"6,667","80,004","36,000","116,004","9,667","116,004"
11/25/2015 14:46:09,Google,SWE,Intern,Mountain View,"1,538",Per Week,,"9,000",,,It's Google,No,Yes,4,Male,Bachelors,Junior,University of Illinois,Computer Science,,"6,665","79,976",0,"79,976","6,665","88,976"
11/27/2015 9:37:34,Google,SWE,Intern,SF,5666.666667,Per Month,3666.666667,1000,500,,All google FTE perks,No,Yes,2,Male,Bachelors,Sophomore,Anna University,CS,,"5,667","68,000","44,125","112,125","9,344","113,125"
11/27/2015 16:49:18,Google,SWE,Full Time,"Mountain View, CA",105000,Annually,,6000,187000,4 Years,,Yes,Yes,,Female,Bachelors,Senior,Mid Tier School,EECS,,"8,750","105,000","46,750","151,750","12,646","157,750"
11/25/2015 19:40:12,Google,SWE Intern,Intern,"New York, NY","6,700",Per Month,4000,,,,Google stuff ,No,Yes,2,Male,Bachelors,,"University of California, Berkeley ",EECS,Had competing offers,"6,700","80,400","48,000","128,400","10,700","128,400"
12/3/2015 9:14:22,Google,SWE Intern,Intern,US,1500,Per Week,9000,,,,"Google benefits, food etc.",No,Yes,,Male,Bachelors,Junior,Public School,Computer Science,,"6,500","78,000","108,000","186,000","15,500","186,000"
11/25/2015 14:04:41,Google,,Intern,New York City,"1,538",Per Week,"3,000",,,,"Free food, free transport",Yes,Yes,6,Female,Bachelors,Sophomore,Stanford,CS,SWE internship,"6,667","80,000","36,000","116,000","9,667","116,000"
11/25/2015 14:10:01,Google,,Full Time,Mountain View,"105,000",Annually,,"22,500","187,000",,,No,Yes,,Male,Bachelors,Senior,,Computer science,,"8,750","105,000","46,750","151,750","12,646","174,250"
11/25/2015 14:17:43,Google,,Intern,US,"6,666",Per Month,,"9,000",,,,No,Yes,2,Male,Bachelors,Junior,,CS,,"6,666","79,992",0,"79,992","6,666","88,992"
11/25/2015 14:21:42,Google,,Intern,US,"6,666",Per Month,,,,,,No,Yes,,Male,Bachelors,Sophomore,University of Michigan,,,"6,666","79,992",0,"79,992","6,666","79,992"
11/25/2015 14:23:48,Google,,Intern,US,"80,000",Annually,,"9,000",,,Free food,No,Yes,4,Male,Bachelors,Sophomore,UT,CS,,"6,667","80,000",0,"80,000","6,667","89,000"
11/27/2015 18:53:15,Gusto,,Intern,SF,7000,Per Month,,,,,,No,No,,Female,Bachelors,Sophomore,MIT,CS,,"7,000","84,000",0,"84,000","7,000","84,000"
11/25/2015 23:05:22,Home Depot,IT Intern,Intern,"Atlanta, GA",800,Per Week,,,,,,No,Yes,4,Female,Bachelors,Senior,Georgia Tech,Computer Science,,"3,467","41,600",0,"41,600","3,467","41,600"
11/25/2015 14:16:57,HubSpot,,Intern,"Cambridge, MA",35,Per Hour,,,,,,No,Yes,0.5,Male,Bachelors,Sophomore,Northeastern University,Commuter Science,,"6,067","72,800",0,"72,800","6,067","72,800"
11/25/2015 14:14:24,HUDL,,Intern,"Lincoln, Nebraska",20,Per Hour,,,,,"Free lunch, Gym membership, free snacks, free housing",No,Still considering,2,Male,High School,Junior,,Software Engineering,,"3,467","41,600",0,"41,600","3,467","41,600"
11/26/2015 2:10:32,Ibm,Software  engineer,Intern,"Ottawa, Canada",870,Per Week,,,,,,No,Yes,3,Female,Bachelors,Graduate,Carleton,computer science,,"3,770","45,240",0,"45,240","3,770","45,240"
11/25/2015 14:10:33,IBM,,Intern,"Toronto, Ontario, Canada",22,Per Hour,,,,,"Gym membership, Future Blue, IBM internal Hackathons, ",No,Yes,4,Male,Bachelors,Sophomore,University of Toronto,Computer Engineering,16 month internship,"3,770","45,240",0,"45,240","3,770","45,240"
11/25/2015 14:14:21,IBM,,Full Time,Austin,"72,000",Annually,"2,000","5,000",,,,No,Yes,4,Male,Bachelors,Super Senior,The University of Texas at Austin,Computer Science,,"6,000","72,000","24,000","96,000","8,000","101,000"
11/25/2015 19:31:42,IMC Financial Markets (HFT),Trading Intern,Intern,"Chicago, Il","7,000",Per Month,1500,,,,"Free lunch, 3 weeks in Amsterdam office expenses paid",No,Yes,2,Male,Bachelors,Junior,University of Illinois,Computer Science,,"7,000","84,000","18,000","102,000","8,500","102,000"
11/27/2015 16:57:17,Intel,Security Engineer,Full Time,"Folsom, CA",95700,Annually,,14000,,,15% stock discount,,Still considering,2,Male,Masters,Graduate,UIUC,CS,,"7,975","95,700",0,"95,700","7,975","109,700"
11/25/2015 15:07:13,Intel,,Full Time,West Coast,"67,000",Annually,,,,,,,,,Male,Bachelors,,,,,"5,583","67,000",0,"67,000","5,583","67,000"
11/25/2015 14:08:57,Intel Corporation,,Full Time,Non-Silicon Valley,"97,500",Annually,"2,333","7,000",,15% Stock discount ,"gym, lunch, etc..all you get from a typical large company",No,Yes,3,Prefer Not to Disclose,Masters,Graduate,UIUC,CS,,"8,125","97,500","28,000","125,500","10,458","132,500"
11/26/2015 2:11:02,Intentional Software,Software Development Engineer,Intern,Bellevue,42,Per Hour,2000,,,,"Free housing, free transportation",No,Yes,8,Prefer Not to Disclose,Bachelors,Junior,,Computer Science,,"7,280","87,360","24,000","111,360","9,280","111,360"
11/25/2015 17:10:50,Intuit,Software Engineer,Full Time,San Francisco Bay Area,"115,000",Annually,,10000,23000,3 year vesting,,,Will be negotiating,2,Female,Masters,Graduate,,Computer Science,"Planning to negotiate
Company is great and people are friendly and helpful","9,583","115,000","7,667","122,667","10,222","132,667"
11/26/2015 13:42:43,Jane Street Capital,Software Developer Intern,Intern,"New York, NY","10,400",Per Month,,,,,,,Still considering,,Male,Bachelors,Sophomore,,,,"10,400","124,800",0,"124,800","10,400","124,800"
11/25/2015 17:42:36,Jolly,Software Engineer Intern,Intern,Austin,30,Per Hour,0,0,0,,,No,Yes,3,Male,Bachelors,Sophomore,Texas,Computer science,,"5,200","62,400",0,"62,400","5,200","62,400"
11/27/2015 17:34:02,JP Morgan Chase,Tech Analyst,Full Time,NYC,80000,Annually,,10000,,,Annual bonuses,No,No,2,Male,Bachelors,Senior,Target School,CS,,"6,667","80,000",0,"80,000","6,667","90,000"
11/27/2015 0:08:49,Jump Trading,Software Engineer Intern,Intern,Chicago,9200,Per Month,2000,6000,,,,No,Yes,,Male,Bachelors,Sophomore,,CS,,"9,200","110,400","24,000","134,400","11,200","140,400"
11/25/2015 14:10:03,Khan Academy,,Intern,Mountain View,"5,000",Per Month,"1,000",,,,,No,Yes,2.5,Female,Bachelors,Sophomore,University of Waterloo,Computer Science,,"5,000","60,000","12,000","72,000","6,000","72,000"
11/25/2015 14:51:17,Laboratory,Research Technicion,Full Time,"Waterloo, ON, CA",25,Per Hour,,,,,"Paid trip to NYC, chance to create a Nuit Blanche exhibit, contribution to research papers",Yes,Yes,1,Male,Bachelors,,University of Waterloo,Mathematical Physics,"I do what I want, when I want. Work on projects at my own pace, set my own hours. Often work remotely from home. If I don't know how to do something, I get paid to learn.","4,333","52,000",0,"52,000","4,333","52,000"
12/3/2015 16:29:16,Large Public Energy,Software Development Intern,Intern,"Baltimore, MD",18.5,Per Hour,800,,,,Free coffee,Yes,Yes,2,Female,Bachelors,Sophomore,,Computer Science,,"3,207","38,480","9,600","48,080","4,007","48,080"
11/25/2015 14:24:13,Large Public Software,,Intern,West Coast,"7,000",Per Month,"1,333",,,,,No,Yes,3,Male,Bachelors,Freshman,UC Berkeley ,Electrical Engineering and Computer Science,,"7,000","84,000","15,996","99,996","8,333","99,996"
