"Fatal occupational injuries, total hours worked, and rates of fatal occupational injuries by selected",,,,,
"worker characteristics, occupations, and industries, civilian workers, 2018",,,,,
Characteristic,Characteristic code,Total fatal injuries1,Total hours worked2     (millions),Fatal injury rate3,Margin of error4
"Arts, design, entertainment, sports, and media occupations",27-0000,71,"5,836",2.3,0.1
"Athletes, coaches, umpires, and related workers",27-2020,22,530,7.6,0.8
Healthcare practitioners and technical occupations,29-0000,65,"17,796",0.7,0.0
Registered nurses,29-1141,13,"5,850",0.4,0.0
Emergency medical technicians and paramedics,29-2041,16,493,6.5,0.9
Service occupations,"31, 33, 35, 37, 39",815,"45,672",3.4,0.0
Healthcare support occupations,31-0000,32,"6,374",1.0,0.0
Protective service occupations,33-0000,270,"6,583",7.4,0.3
Firefighters,33-2011,32,833,3.4,0.4
Police and sheriff's patrol officers,33-3051,108,"1,544",13.7,1.0
Security guards and gaming surveillance officers,33-9030,58,"1,819",6.4,0.4
Food preparation and serving related occupations,35-0000,100,"12,907",1.5,0.0
Supervisors of food preparation and serving workers,35-1010,22,"1,958",2.2,0.1
Building and grounds cleaning and maintenance occupations,37-0000,350,"9,992",6.8,0.2
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",37-1012,48,475,20.2,2.7
Janitors and building cleaners,"37-2011, 37-2019",51,"4,033",2.5,0.1
Grounds maintenance workers,37-3010,225,"2,333",18.6,1.0
Personal care and service occupations,39-0000,63,"9,817",1.2,0.0
Sales and office occupations,"41, 43",310,"60,350",1.0,0.0
Sales and related occupations,41-0000,241,"28,738",1.7,0.0
First-line supervisors of retail sales workers,41-1011,79,"6,894",2.3,0.1
First-line supervisors of non-retail sales workers,41-1012,23,"2,660",1.7,0.1
Cashiers (including gaming change persons and booth cashiers ),41-2010,47,"4,510",2.1,0.1
Retail salespersons,41-2031,46,"5,270",1.7,0.1
Office and administrative support occupations,43-0000,69,"31,611",0.4,0.0
"Natural resources, construction, and maintenance occupations","45, 47, 49","1,685","28,854",11.6,0.2
"Farming, fishing, and forestry occupations",45-0000,262,"2,223",22.8,2.5
Miscellaneous agricultural workers,45-2090,157,"1,646",18.0,2.4
Fishers and related fishing workers,45-3011,30,78,77.4,23.9
Logging workers,45-4020,56,115,97.6,26.8
Construction and extraction occupations,47-0000,"1,003","16,397",12.2,0.3
First-line supervisors of construction trades and extraction workers,47-1011,144,"1,371",21.0,1.6
Carpenters,47-2031,86,"2,610",6.6,0.4
Construction laborers,47-2061,259,"3,977",13.0,0.6
Operating engineers and other construction equipment operators,47-2073,39,739,10.6,1.2
Electricians,47-2111,80,"1,823",8.8,0.6
"Painters, construction and maintenance",47-2141,29,"1,097",5.3,0.5
"Pipelayers, plumbers, pipefitters, and steamfitters",47-2150,37,"1,313",5.6,0.5
Roofers,47-2181,96,369,51.5,8.4
Structural iron and steel workers,47-2221,15,127,23.6,5.8
"Helpers, construction trades",47-3010,11,139,15.8,3.8
Mining machine operators,47-5040,9,163,11.0,2.8
Other extraction workers,"47-5051, 47-5099",5,118,8.5,2.6
"Installation, maintenance, and repair occupations",49-0000,420,"10,234",8.2,0.2
"First-line supervisors of mechanics, installers, and repairers",49-1011,46,608,15.1,1.8
Automotive service technicians and mechanics,49-3023,58,"1,835",6.1,0.4
Bus and truck mechanics and diesel engine specialists,49-3031,39,819,9.5,1.0
"Heating, air conditioning, and refrigeration mechanics and installers",49-9021,40,943,8.5,0.8
"Industrial machinery installation, repair, and maintenance workers",49-9040,27,"1,090",5.0,0.5
Electrical power-line installers and repairers,49-9051,29,301,19.3,3.5
Telecommunications line installers and repairers,49-9052,10,431,4.6,0.6
"Maintenance and repair workers, general",49-9071,64,"1,022",12.5,1.0
"Production, transportation, and material moving occupations","51, 53","1,668","36,448",9.1,0.2
Production occupations,51-0000,225,"17,350",2.6,0.1
First-line supervisors of production and operating workers,51-1011,26,"1,809",2.9,0.2
"Welding, soldering, and brazing workers",51-4120,42,"1,344",6.2,0.5
Transportation and material moving occupations,53-0000,"1,443","19,099",15.0,0.3
Aircraft pilots and flight engineers,53-2010,70,221,58.9,12.4
Driver/sales workers and truck drivers,53-3030,966,"7,404",26.0,0.9
Taxi drivers and chauffeurs,53-3041,47,"1,348",6.7,0.5
Industrial truck and tractor operators,53-7051,44,"1,289",6.8,0.6
"Laborers and freight, stock, and material movers, hand",53-7062,113,"3,838",5.8,0.3
Refuse and recyclable material collectors,53-7081,37,167,44.3,10.2
 no data,no data,no data,no data,no data,no data
Industry9,Industry code9,no data,no data,no data,no data
Private industry,no data,"4,779","253,458",3.7,0.0
Goods producing,"11, 21, 23, 31, 32, 33","2,055","59,825",6.8,0.1
Natural resources and mining10,"11, 21",704,"6,645",20.9,1.4
"Agriculture, forestry, fishing and hunting",11,574,"4,805",23.4,1.9
Crop production  ,111000,250,"2,409",20.1,2.3
Animal production and aquaculture,112000,161,"1,701",18.6,2.4
Logging ,113300,75,234,64.0,14.1
"Fishing, hunting and trapping ",114000,33,98,67.5,18.1
Support activities for agriculture and forestry ,115000,41,343,23.9,4.6
"Mining, quarrying, and oil and gas extraction10",21,130,"1,840",14.1,2.2
Oil and gas extraction ,211000,13,177,14.7,3.3
Mining (except oil and gas),212000,34,454,15.0,3.1
Coal mining ,212100,11,147,15.0,6.0
Nonmetallic mineral mining and quarrying,212300,17,224,15.2,3.1
Support activities for mining,213000,83,"1,209",13.7,2.8
Construction,23,"1,008","21,318",9.5,0.2
Manufacturing,"31, 32, 33",343,"31,862",2.2,0.0
Food manufacturing,311000,41,"3,653",2.2,0.2
"Animal food, grain and oilseed milling ","3111, 3112",9,344,5.2,0.8
Animal slaughtering and processing ,311600,11,"1,035",2.1,0.4
Wood product manufacturing,321000,48,922,10.4,1.1
Chemical manufacturing,325000,18,"2,944",1.2,0.1
Plastics and rubber products manufacturing,326000,12,"1,070",2.2,0.2
Nonmetallic mineral product manufacturing,327000,30,985,6.1,0.5
"Cement, concrete, lime, and gypsum product manufacturing ","3273, 3274",19,381,10.0,1.5
Primary metal manufacturing,331000,18,978,3.7,0.4
Fabricated metal product manufacturing,332000,56,"2,520",4.4,0.3
Machinery manufacturing,333000,38,"2,539",3.0,0.2
Transportation equipment manufacturing,336000,33,"5,264",1.3,0.1
Service providing,"22, 42, 44, 45, 48, 49, 51, 52, 53, 54, 55, 56, 61, 62, 71, 72, 81, 99","2,724","193,633",2.8,0.0
"Trade, transportation, and utilities","42, 44, 45, 48, 49, 22","1,379","51,283",5.3,0.1
Wholesale trade,42,202,"7,528",5.3,0.2
"Merchant wholesalers, durable goods",423000,113,"3,474",6.4,0.3
"Machinery, equipment, and supplies merchant wholesalers     ",423800,26,732,7.1,0.7
Recyclable material merchant wholesalers,423930,13,219,11.9,2.9
"Merchant wholesalers, nondurable goods",424000,85,"3,740",4.5,0.2
Grocery and related products merchant wholesalers ,424400,31,"1,834",3.4,0.3
Retail trade,"44, 45",274,"29,184",1.9,0.0
Motor vehicle and parts dealers,441000,68,"4,166",3.2,0.1
Automobile dealers ,441100,25,"2,856",1.8,0.1
"Automotive parts, accessories, and tire stores  ",441300,31,964,6.4,0.5
Building material and garden equipment and supplies dealers,444000,19,"2,795",1.4,0.1
Food and beverage stores,445000,42,"5,244",1.6,0.1
Grocery stores ,445100,38,"4,637",1.6,0.1
Gasoline stations ,447000,47,894,10.5,1.0
Miscellaneous store retailers,453000,21,"1,947",2.0,0.1
Nonstore retailers,454000,14,"1,441",1.9,0.1
Transportation and warehousing     ,"48, 49",874,"12,376",14.0,0.4
Air transportation ,481000,27,"1,125",3.9,0.3
Rail transportation ,482000,15,441,6.8,0.9
Water transportation ,483000,12,166,14.5,3.5
Truck transportation ,484000,607,"4,296",28.3,1.4
Transit and ground passenger transportation,485000,55,"1,848",6.0,0.4
Bus service and urban transit ,485000 except 485300,22,639,6.9,0.8
Taxi and limousine service ,485300,33,"1,209",5.5,0.5
Support activities for transportation ,488000,84,"1,542",10.9,0.8
Couriers and messengers,492000,35,"1,504",4.7,0.4
Warehousing and storage ,493000,26,"1,244",4.2,0.3
Utilities,22,29,"2,195",2.6,0.2
Information ,51,31,"5,367",1.2,0.0
Publishing industries (except internet),511000,14,879,3.2,0.3
Newspaper publishers,511110,13,326,8.0,1.2
Financial activities,"52, 53",108,"20,500",1.1,0.0
Finance and insurance,52,30,"14,558",0.4,0.0
Real estate and rental and leasing,53,78,"5,942",2.6,0.1
Real estate ,531000,49,"5,141",1.9,0.1
Rental and leasing services,532000,29,801,7.2,0.8
Professional and business services,"54, 55, 56",585,"35,534",3.3,0.1
"Professional, scientific, and technical services",54,87,"23,249",0.7,0.0
"Architectural, engineering, and related services ",541300,27,"3,427",1.6,0.1
"Management, administrative, and waste services","55, 56",498,"12,286",8.0,0.2
Employment services ,561300,55,"1,697",6.5,0.4
Investigation and security services ,561600,53,"1,617",6.6,0.5
Services to buildings and dwellings (except landscaping services) ,"561700, except 561730",47,"2,704",3.4,0.2
Landscaping services,561730,241,"2,519",18.8,1.1
Waste management and remediation services ,562000,89,837,21.3,1.9
Educational and health services,"61, 62",168,"44,391",0.7,0.0
Educational services,61,30,"8,627",0.7,0.0
Health care and social assistance,62,138,"35,765",0.8,0.0
Ambulatory health care services,621000,65,"14,155",0.9,0.0
Hospitals ,622000,24,"12,201",0.4,0.0
Nursing and residential care facilities,623000,32,"4,447",1.4,0.1
Social assistance,624000,17,"4,961",0.6,0.0
Leisure and hospitality,"71, 72",253,"22,930",2.2,0.0
"Arts, entertainment, and recreation",71,78,"4,946",3.0,0.1
"Performing arts, spectator sports, and related industries",711000,44,"1,489",5.6,0.4
"Amusement, gambling, and recreation industries (except bowling centers)  ","713000, except 713950",29,"3,111",1.8,0.1
Accommodation and food services,72,175,"17,984",1.9,0.0
Accommodation ,721000,46,"2,656",3.5,0.2
Traveler accommodation ,721100,33,"2,465",2.7,0.2
Food services and drinking places,722000,129,"15,328",1.7,0.0
Restaurants and other food services ,"722000, except 722400",98,"14,927",1.3,0.0
Drinking places (alcoholic beverages),722400,31,402,15.4,2.3
"Other services, except public administration",81,195,"13,627",2.6,0.1
Repair and maintenance,811000,129,"4,279",6.0,0.3
Automotive repair and maintenance (except car washes),"811100, except 811192",88,"2,679",6.5,0.4
Personal and laundry services,812000,29,"4,570",1.2,0.1
"Religious, grantmaking, civic, professional, and similar organizations",813000,35,"3,677",1.1,0.1
Government11,no data,471,"39,069",1.8,0.0
Federal government,no data,124,"7,211",1.2,0.0
State government,no data,69,"13,076",1.1,0.0
Local government,no data,276,"18,783",2.7,0.1
,,,,,
"     1 Workers under the age of 16 years, volunteer workers, and members of the resident military are not included in rate calculations to maintain consistency with the Current Population",,,,,
Survey (CPS) employment. The total fatal injuries column represents total published fatal injuries before the exclusions.,,,,,
"     2 The total hours worked figures are annual average estimates of total at work multiplied by average hours for civilians, 16 years of age and older, from the CPS, 2018.",,,,,
"     3 The rate represents the number of fatal occupational injuries per 100,000 full-time equivalent workers and was calculated as:",,,,,
"(N/EH) x 200,000,000 where",,,,,
     N                  = the number of fatal work injuries ,,,,,
     EH                = total hours worked by all employees during the calendar year,,,,,
"     200,000,000 = base for 100,000 equivalent full-time workers (working 40 hours per week, 50 weeks per year)",,,,,
    4 Fatal injury rates rely on the census figures from the Census of Fatal Occupational Injuries (CFOI) and the employment from the CPS. CPS is a sample of households that is designed,,,,,
"to represent the civilian noninstitutional population of the United States. Sampling errors occur in the CPS because observations are made on a sample, not on the entire population. The",,,,,
"margin of error (MOE) is a measure of dispersion around the estimated fatal injury rate, expressed at the 95% confidence level. For more on confidence intervals, ",,,,,
"see www.bls.gov/iif/osh_rse.htm. While the MOE measures the variance in the employment calculations, small fatal injury counts can vary substantially from year to year.",,,,,
See www.bls.gov/iif/dangerous-jobs.htm for more information.,,,,,
     5 May include volunteers and workers receiving other types of compensation.,,,,,
"     6 Includes self-employed workers, owners of unincorporated businesses and farms, paid and unpaid family workers, and may include some owners of incorporated businesses or",,,,,
members of partnerships.,,,,,
     7 Persons identified as Hispanic or Latino may be of any race. The race categories shown exclude data for Hispanics and Latinos.,,,,,
"     8 Occupation data are based on the Standard Occupational Classification (SOC) system, 2010.",,,,,
"     9 Industry data are based on the North American Industry Classification System (NAICS), 2012.",,,,,
"     10 Includes fatal injuries at all establishments categorized as Mining, quarrying, and oil and gas extraction (Sector 21) in the NAICS including establishments not governed by the Mine",,,,,
"Safety and Health Administration (MSHA) rules and reporting, such as those in Oil and gas extraction.",,,,,
     11 Includes fatal injuries to workers employed by governmental organizations regardless of industry.,,,,,
"Note: Selected rate categories had 5 or more reported fatal work injuries in 2018 and 40 million or more work hours (20,000 full-time equivalent employees). Rates produced in prior",,,,,
years may not appear if they do not meet this threshold in 2018. Totals for major categories may include subcategories not shown separately. Figures may not add to totals because of,,,,,
rounding. CFOI fatality counts exclude illness-related deaths unless precipitated by an injury event.  ,,,,,
"Source:  U.S. Bureau of Labor Statistics, Current Population Survey, Census of Fatal Occupational Injuries, 2020.",,,,,
