"Fatal occupational injuries, total hours worked, and rates of fatal occupational injuries by selected",,,,
"worker characteristics, occupations, and industries, civilian workers, 2016",,,,
Characteristic,Total fatal injuries1,Total hours worked2     (millions),Fatal injury rate3,Margin of Error4
Supervisors of food preparation and serving workers,21,"1,998",2.1,0.1
Building and grounds cleaning and maintenance occupations,329,"9,834",6.6,0.2
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",30,454,13.2,1.6
Janitors and building cleaners,51,"3,850",2.6,0.1
Grounds maintenance workers,217,"2,475",17.4,1.0
Personal care and service occupations,55,"9,494",1.1,0.0
Sales and office occupations,332,"60,238",1.1,0.0
Sales and related occupations,254,"28,706",1.8,0.0
First-line supervisors of retail sales workers,89,"6,740",2.6,0.1
First-line supervisors of non-retail sales workers,15,"2,519",1.2,0.1
Cashiers (including gaming change persons and booth cashiers ),63,"4,623",2.7,0.1
Retail salespersons,33,"5,482",1.2,0.0
Office and administrative support occupations,78,"31,532",0.5,0.0
"Natural resources, construction, and maintenance occupations","1,730","27,556",12.3,0.2
"Farming, fishing, and forestry occupations",290,"2,226",24.9,2.0
Miscellaneous agricultural workers,156,"1,666",17.4,1.7
Fishers and related fishing workers,24,56,86.0,31.5
Logging workers,91,131,135.9,32.2
Construction and extraction occupations,970,"15,441",12.4,0.3
First-line supervisors of construction trades and extraction workers,134,"1,478",18.0,1.2
Carpenters,99,"2,568",7.6,0.4
Construction laborers,254,"3,347",15.1,0.6
Operating engineers and other construction equipment operators,39,734,10.6,1.0
Electricians,79,"1,578",10.0,0.7
"Painters, construction and maintenance",50,"1,099",8.6,0.7
"Pipelayers, plumbers, pipefitters, and steamfitters",24,"1,176",4.1,0.3
Roofers,101,416,48.6,5.6
Structural iron and steel workers,16,127,25.1,6.6
"Installation, maintenance, and repair occupations",470,"9,888",9.4,0.2
"First-line supervisors of mechanics, installers, and repairers",44,562,15.7,1.7
Automotive service technicians and mechanics,64,"1,780",7.2,0.4
Bus and truck mechanics and diesel engine specialists,29,714,8.1,0.8
"Heating, air conditioning, and refrigeration mechanics and installers",37,856,8.4,0.8
"Industrial machinery installation, repair, and maintenance workers",45,966,9.3,0.8
"Maintenance and repair workers, general",75,"1,092",13.4,1.0
Electrical power-line installers and repairers,21,288,14.6,2.1
Telecommunications line installers and repairers,21,346,12.1,1.6
"Production, transportation, and material moving occupations","1,604","34,632",9.2,0.1
Production occupations,216,"16,766",2.6,0.1
First-line supervisors of production and operating workers,31,"1,641",3.8,0.2
"Welding, soldering, and brazing workers",40,"1,254",6.4,0.5
Transportation and material moving occupations,"1,388","17,866",15.4,0.3
Aircraft pilots and flight engineers,75,263,55.5,9.2
Driver/sales workers and truck drivers,918,"7,431",24.7,0.8
Taxi drivers and chauffeurs,60,896,13.2,1.2
Industrial truck and tractor operators,37,"1,220",6.1,0.5
"Laborers and freight, stock, and material movers, hand",92,"3,401",5.2,0.2
Refuse and recyclable material collectors,31,182,34.1,6.8
 no data, no data, no data, no data, no data
Industry9, no data, no data, no data, no data
Private industry,"4,693","245,136",3.8,0.0
Goods producing,"1,991","57,594",6.8,0.1
Natural resources and mining10,682,"6,752",19.8,1.2
"Agriculture, forestry, fishing and hunting",593,"4,983",23.2,1.5
Crop production  ,261,"2,416",20.9,2.0
Animal production and aquaculture,151,"1,892",15.4,1.4
Logging ,105,208,100.1,21.7
"Fishing, hunting, and trapping ",26,75,69.1,23.3
Support activities for agriculture and forestry ,48,354,27.1,4.2
"Mining, quarrying, and oil and gas extraction10",89,"1,769",10.1,1.5
Mining (except oil and gas),22,440,10.0,2.1
Support activities for mining,56,"1,114",10.1,2.1
Construction,991,"19,530",10.1,0.2
Manufacturing,318,"31,312",2.0,0.0
Food manufacturing,40,"3,506",2.3,0.1
Wood product manufacturing,28,853,6.6,0.8
Chemical manufacturing,15,"2,698",1.1,0.1
Plastics and rubber products manufacturing,16,"1,145",2.8,0.2
Nonmetallic mineral product manufacturing,32,920,7.0,0.7
"Cement, concrete, lime, and gypsum product manufacturing ",24,317,15.1,2.2
Primary metal manufacturing,25,959,5.2,0.5
Fabricated metal product manufacturing,41,"2,418",3.4,0.2
Machinery manufacturing,24,"2,484",1.9,0.1
Transportation equipment manufacturing,29,"4,990",1.2,0.1
Service providing,"2,702","187,542",2.8,0.0
"Trade, transportation, and utilities","1,316","50,093",5.2,0.1
Wholesale trade,179,"7,425",4.8,0.2
"Merchant wholesalers, durable goods",91,"3,501",5.2,0.2
"Machinery, equipment, and supplies, merchant wholesalers     ",26,765,6.8,0.7
Recyclable material merchant wholesalers,17,170,20.0,4.4
"Merchant wholesalers, nondurable goods",86,"3,650",4.7,0.2
"Groceries and related products, merchant wholesalers ",30,"1,642",3.7,0.3
Retail trade,282,"29,037",1.9,0.0
Motor vehicle and parts dealers,42,"4,316",1.9,0.1
Automobile dealers ,21,"2,942",1.4,0.1
"Auto parts, accessories, and tire stores  ",15,"1,039",2.9,0.2
Building material and garden equipment and supplies dealers,19,"2,708",1.4,0.1
Food and beverage stores,71,"5,147",2.7,0.1
Grocery stores ,59,"4,474",2.6,0.1
Gasoline stations ,44,941,9.4,0.7
Miscellaneous store retailers,21,"1,877",2.2,0.1
Non-store retailers,15,"1,276",2.4,0.2
Transportation and warehousing     ,825,"11,510",14.3,0.4
Air transportation ,22,"1,031",4.3,0.4
Truck transportation ,570,"4,442",25.6,1.0
Transit and ground passenger transportation,71,"1,381",10.3,0.7
Bus service and urban transit ,21,610,6.9,0.7
Taxi and limousine service ,50,771,13.0,1.2
Support activities for transportation ,73,"1,333",11.0,0.8
Couriers and messengers,30,"1,462",4.1,0.2
Warehousing and storage,16,"1,111",2.9,0.2
Utilities,30,"2,121",2.8,0.2
Information ,46,"5,323",1.7,0.1
Financial activities,117,"19,822",1.2,0.0
Finance and insurance,26,"14,109",0.4,0.0
Real estate and rental and leasing,91,"5,713",3.2,0.1
Real estate ,64,"4,938",2.6,0.1
Rental and leasing services,26,776,6.7,0.6
Professional and business services,540,"34,110",3.1,0.0
"Professional, scientific, and technical services",100,"21,525",0.9,0.0
"Architectural, engineering, and related services ",43,"3,188",2.7,0.1
"Management, administrative, and waste services",440,"12,586",6.9,0.2
Employment services ,51,"1,812",5.6,0.3
Investigation and security services ,43,"1,549",5.4,0.4
Services to buildings and dwellings (except landscaping services) ,46,"2,634",3.5,0.2
Landscaping services,208,"2,516",16.5,1.0
Waste management and remediation services ,67,"1,041",12.7,1.2
Educational and health services,159,"42,451",0.7,0.0
Educational services,42,"7,932",1.0,0.0
Health care and social assistance,117,"34,519",0.7,0.0
Ambulatory health care services,56,"13,280",0.8,0.0
Nursing and residential care facilities,29,"4,547",1.3,0.1
Social assistance,17,"4,867",0.7,0.0
Leisure and hospitality,298,"22,866",2.6,0.0
"Arts, entertainment, and recreation",96,"4,774",3.9,0.2
"Performing arts, spectator sports, and related industries",53,"1,381",7.2,0.6
"Amusement, gambling, and recreation industries (except bowling centers)  ",38,"3,066",2.5,0.1
Accommodation and food services,202,"18,091",2.2,0.0
Accommodation ,37,"2,905",2.5,0.1
Traveler accommodation ,30,"2,737",2.2,0.1
Food services and drinking places,165,"15,186",2.1,0.0
Restaurants and other food services ,142,"14,803",1.9,0.0
Drinking places (alcoholic beverages),23,383,12.0,1.7
Other services (except public administration),223,"12,877",3.2,0.1
Repair and maintenance,146,"3,988",7.3,0.3
Automotive repair and maintenance (except car washes),95,"2,420",7.9,0.4
Personal and laundry services,33,"4,194",1.6,0.1
"Religious, grantmaking, civic, professional, and similar organizations",44,"3,675",1.6,0.1
Government11,497,"37,965",2.2,0.0
Federal government,107,"7,101",1.2,0.0
State government,97,"12,763",1.5,0.0
Local government,291,"18,101",3.0,0.1
 no data,,,,
"     1 Workers under the age of 16 years, volunteer workers, and members of the resident military are not included in rate calculations to ",,,,
maintain consistency with the Current Population Survey (CPS) employment.  The total fatal injuries column represents total published ,,,,
fatal injuries before the exclusions.,,,,
"     2 The total hours worked figures are annual average estimates of total at work multiplied by average hours for civilians, 16 years of",,,,
"age and older, from the CPS, 2016.",,,,
"     3 The rate represents the number of fatal occupational injuries per 100,000 full-time equivalent workers and was calculated as:",,,,
"(N/EH) x 200,000,000 where",,,,
     N                  = the number of fatal work injuries ,,,,
     EH                = total hours worked by all employees during the calendar year,,,,
"     200,000,000 = base for 100,000 equivalent full-time workers (working 40 hours per week, 50 weeks per year)",,,,
    4 Fatal injury rates rely on the census figures from the CFOI and the employment from the Current Population Survey (CPS). CPS is a ,,,,
sample of households that is designed to represent the civilian noninstitutional population of the United States. Sampling errors occur in ,,,,
"the CPS because observations are made on a sample, not on the entire population. The margin of error (MOE) is a measure of ",,,,
"dispersion around the estimated fatal injury rate, expressed at the 95% confidence level. ",,,,
"For more on confidence intervals, see https://www.bls.gov/iif/osh_rse.htm.",,,,
     5 May include volunteers and workers receiving other types of compensation.,,,,
"     6 Includes self-employed workers, owners of unincorporated businesses and farms, paid and unpaid family workers, and may include",,,,
 some owners of incorporated businesses or members of partnerships.,,,,
     7 Persons identified as Hispanic or Latino may be of any race.  The race categories shown exclude data for Hispanics and Latinos.,,,,
"     8 Occupation data are based on the Standard Occupational Classification (SOC) system, 2010.",,,,
"     9 Industry data are based on the North American Industry Classification System (NAICS), 2012.",,,,
"     10 Includes fatal injuries at all establishments categorized as Mining, Quarrying, and Oil and Gas Extraction (Sector 21) in the North ",,,,
"American Industry Classification System, including establishments not governed by the Mine Safety and Health Administration (MSHA) ",,,,
"rules and reporting, such as those in Oil and Gas Extraction.",,,,
     11 Includes fatal injuries to workers employed by governmental organizations regardless of industry.,,,,
"Note: Selected rate categories had 15 or more reported fatal work injuries in 2016 and 40 million or more work hours (20,000 full-time ",,,,
equivalent employees).  Rates produced in prior years may not appear if they do not meet this threshold in 2016.  Totals for major ,,,,
categories may include subcategories not shown separately.  Figures may not add to totals because of rounding.  CFOI ,,,,
fatality counts exclude illness-related deaths unless precipitated by an injury event.  ,,,,
"Source:  U.S. Bureau of Labor Statistics, Current Population Survey, Census of Fatal Occupational Injuries, 2020.",,,,
