"Some of the published fatal occupational injuries, injury rates, and the total hours worked for selected occupations, industries, and a race/ethnic ",,,,
"origin category were improperly calculated for 2006 to 2015. For details on the affected rates and products, please visit",,,,
http://www.bls.gov/bls/errata/cfoi-errata-2016.htm.,,,,
This document has been revised with the corrected figures.,,,,
,,,,
,,,,
"Fatal occupational injuries, total hours worked, and rates of fatal occupational injuries by selected",,,,
"worker characteristics, occupations, and industries, civilian workers, 2008",,,,
Characteristic,Total fatal injuries1,Total hours worked2     (millions),Fatal injury rate3,
Sales and related occupations,275,"29,961",1.8,
First-line supervisors/managers of retail sales workers,113,"7,378",3.1,
First-line supervisors/managers of non-retail sales workers,17,"2,759",1.2,
Cashiers,43,"4,392",1.9,
Retail salespersons,44,"5,637",1.5,
Office and administrative support occupations,89,"34,185",0.5,
"Natural resources, construction, and maintenance occupations","1,617","28,869",11.1,
"Farming, fishing, and forestry occupations",286,"1,957",28.4,
Miscellaneous agricultural workers,141,"1,407",18.9,
Fishers and related fishing workers,50,78,128.2,
Logging workers,85,142,119.7,
Construction and extraction occupations,977,"16,481",11.7,
Carpenters,70,"2,868",4.8,
Construction laborers,241,"2,934",16.2,
Operating engineers and other construction equipment operators,66,824,16.0,
Electricians,74,"1,763",8.4,
"Painters, construction and maintenance",50,"1,141",8.6,
"Pipelayers, plumbers, pipefitters, and steamfitters",39,"1,210",6.4,
Roofers,69,401,34.4,
Structural iron and steel workers,36,156,46.2,
"Helpers, construction trades",15,207,14.5,
"Installation, maintenance, and repair occupations",354,"10,432",6.7,
"First-line supervisors/managers of mechanics, installers, and repair",26,648,7.7,
Automotive service technicians and mechanics,44,"1,705",5.0,
"Heating, air conditioning, and refrigeration mechanics and installer",19,795,4.8,
Electrical power-line installers and repairers,35,235,29.8,
"Production, transportation, and material moving occupations","1,643","34,667",9.4,
Production occupations,267,"17,656",3.0,
First-line supervisors/managers of production and operating workers,36,"1,854",3.8,
"Welding, soldering, and brazing workers",65,"1,235",10.5,
Transportation and material moving occupations,"1,376","17,016",16.1,
Aircraft pilots and flight engineers,91,246,73.2,
Driver/sales workers and truck drivers,856,"7,113",24.0,
Taxi drivers and chauffeurs,69,715,19.3,
Industrial truck and tractor operators,50,"1,132",8.8,
"Laborers and freight, stock, and material movers, hand",113,"3,293",6.7,
Refuse and recyclable material collectors,30,169,35.5,
,,,,
Industry8,,,,
Private industry,"4,670","233,054",4.0,
Goods producing,"2,234","58,620",7.6,
Natural resources and mining9,848,"6,301",26.6,
"Agriculture, Forestry, Fishing, and Hunting",672,"4,355",30.4,
Crop production  ,314,"1,887",32.5,
Animal production  ,161,"1,886",16.8,
Logging ,96,172,111.6,
"Fishing, hunting, and trapping ",46,99,92.9,
Support activities for agriculture and forestry ,48,281,34.2,
Mining9,176,"1,946",18.1,
Oil and gas extraction ,21,176,23.9,
Coal mining ,26,237,21.9,
Support activities for mining,104,"1,216",17.1,
Construction,975,"19,999",9.7,
Manufacturing,411,"32,320",2.5,
Food manufacturing,70,"3,180",4.4,
"Animal food, grain and oilseed milling ",19,308,12.3,
Chemical manufacturing,18,"2,666",1.4,
Plastics and rubber products manufacturing,21,"1,125",3.7,
Nonmetallic mineral product manufacturing,40,"1,071",7.5,
"Cement, concrete, lime, and gypsum product manufacturing ",29,424,13.7,
Primary metal manufacturing,41,"1,131",7.3,
Fabricated metal product manufacturing,51,"2,576",4.0,
Machinery manufacturing,27,"2,714",2.0,
Transportation equipment manufacturing,29,"4,688",1.2,
Wood product manufacturing,27,965,5.6,
Service providing,"2,436","174,410",2.8,
"Trade, transportation, and utilities","1,314","50,071",5.2,
Wholesale Trade,180,"8,266",4.4,
"Merchant wholesalers, durable goods",91,"4,101",4.4,
"Machinery, equipment, and supplies, merchant wholesalers     ",27,869,6.2,
"Merchant wholesalers, nondurable goods",78,"3,866",4.0,
"Groceries and related products, merchant wholesalers ",27,"1,723",3.1,
Retail Trade,301,"29,271",2.0,
Motor vehicle and parts dealers,59,"4,183",2.8,
Automobile dealers ,31,"2,808",2.2,
"Automotive parts, accessories, and tire stores  ",21,"1,022",4.1,
Building material and garden equipment and supplies dealers,37,"2,826",2.6,
Food and beverage stores,55,"5,152",2.1,
Grocery stores ,47,"4,436",2.1,
Gasoline stations ,38,955,7.7,
Nonstore retailers,26,"1,045",5.0,
Transportation and Warehousing     ,796,"10,670",14.9,
Air transportation ,38,"1,000",7.6,
Rail transportation ,23,548,8.4,
Water transportation ,18,158,22.8,
Truck transportation ,498,"4,301",23.1,
Transit and ground passenger transportation,78,"1,196",13.0,
Bus service and urban transit ,20,641,6.2,
Taxi and limousine service ,58,555,20.9,
Services incidental to transportation ,89,"1,278",13.9,
Utilities,37,"1,864",3.9,
Information ,47,"6,386",1.5,
"Publishing industries, except Internet",20,"1,457",2.7,
Newspaper publishers,18,708,5.1,
Financial activities,106,"19,489",1.1,
Finance and Insurance,24,"14,109",0.3,
Real Estate and Rental and Leasing,82,"5,376",3.1,
Real estate ,54,"4,443",2.4,
Professional and business services,403,"28,862",2.8,
Professional and Technical Services,69,"17,899",0.8,
"Management, administrative, and waste services",334,"10,956",6.1,
Employment services ,36,"1,687",4.3,
Investigation and security services ,35,"1,578",4.4,
Services to buildings and dwellings (except landscaping services) ,49,"2,266",4.3,
Landscaping services,123,"2,166",11.4,
Waste management and remediation services ,73,728,20.1,
Educational and Health Services,141,"36,572",0.7,
Educational Services,28,"6,496",0.9,
Health Care and Social Assistance,113,"30,025",0.7,
Ambulatory health care services,55,"11,164",1.0,
Hospitals ,23,"10,159",0.5,
Nursing and residential care facilities,17,"4,185",0.8,
Social assistance,18,"4,554",0.7,
Leisure and hospitality,238,"20,617",2.2,
"Arts, Entertainment, and Recreation",92,"4,265",4.0,
"Independent artists, performing arts, spectator sports, and related industries",44,"1,309",6.6,
"Amusement, gambling, and recreation industries (except bowling centers)  ",41,"2,638",2.8,
Accommodation and Food Services,146,"16,315",1.8,
Accommodation ,26,"2,826",1.8,
Traveler accommodation ,23,"2,657",1.7,
Food services and drinking places,120,"13,503",1.8,
Restaurants and other food services ,85,"13,114",1.3,
Drinking places (alcoholic beverages),35,412,17.0,
Other Services (Except Public Administration),178,"12,413",2.6,
Automotive repair and maintenance ,69,"2,416",5.7,
Personal and laundry services,29,"3,804",1.5,
"Religious, grantmaking, civic, professional, and similar organizations",36,"3,399",1.4,
Government10,544,"38,904",2.4,
Federal government,108,"6,885",1.5,
State government,118,"11,242",2.1,
Local government,317,"20,816",2.8,
,,,,
"     1 Workers under the age of 16 years, volunteer workers, and members of the resident military are not included in rate calculations to ",,,,
maintain consistency with the Current Population Survey (CPS) employment.  The total fatal injuries column represents total published fatal ,,,,
injuries before the exclusions.,,,,
"     2 The total hours worked figures are annual average estimates of total at work multiplied by average hours for civilians, 16 years of",,,,
"age and older, from the CPS, 2008.",,,,
"     3 The rate represents the number of fatal occupational injuries per 100,000 full-time equivalent workers and was calculated as:",,,,
"(N/EH) x 200,000,000 where",,,,
     N                  = the number of fatal work injuries ,,,,
     EH                = total hours worked by all employees during the calendar year,,,,
"     200,000,000 = base for 100,000 equivalent full-time workers (working 40 hours per week, 50 weeks per year)",,,,
     4 May include volunteers and workers receiving other types of compensation.,,,,
"     5 Includes self-employed workers, owners of unincorporated businesses and farms, paid and unpaid family workers, and may include",,,,
 some owners of incorporated businesses or members of partnerships.,,,,
     6 Persons identified as Hispanic or Latino may be of any race.  The race categories shown exclude data for Hispanics and Latinos.,,,,
"     7 Occupation data are based on the Standard Occupational Classification (SOC) system, 2000.",,,,
"     8 Industry data are based on the North American Industry Classification System (NAICS), 2002.",,,,
     9 Includes fatal injuries at all establishments categorized as Mining (Sector 21) in the North American Industry,,,,
" Classification System, including establishments not governed by the Mine Safety and Health Administration (MSHA) rules",,,,
"and reporting, such as those in Oil and Gas Extraction.",,,,
     10 Includes fatal injuries to workers employed by governmental organizations regardless of industry.,,,,
"Note: Selected rate categories had 15 or more reported fatal work injuries in 2008 and 40 million or more work hours (20,000 full-time ",,,,
equivalent employees).  Rates produced in other years may not appear if they do not meet this threshold in 2008.  Totals for major ,,,,
categories may include subcategories not shown separately.  Figures may not add to totals because of rounding.  CFOI ,,,,
fatality counts exclude illness-related deaths unless precipitated by an injury event.  ,,,,
"Source:  U.S. Bureau of Labor Statistics, Current Population Survey, Census of Fatal Occupational Injuries, 2020.",,,,
