"Fatal occupational injuries, total hours worked, and rates of fatal occupational injuries by selected",,,,,,,,
"worker characteristics, occupations, and industries, civilian workers, 2017",,,,,,,,
Characteristic,Characteristic code,Total fatal injuries1,Total hours worked2     (millions),Fatal injury rate3,Margin of error4,,,
Chemical manufacturing,325000,13,"2,736",1.0,0.1,,,
Plastics and rubber products manufacturing,326000,15,"1,091",2.7,0.3,,,
Nonmetallic mineral product manufacturing,327000,35,931,7.5,0.7,,,
"Cement, concrete, lime, and gypsum product manufacturing ","3273, 3274",21,335,12.5,1.9,,,
Primary metal manufacturing,331000,8,929,1.7,0.2,,,
Fabricated metal product manufacturing,332000,50,"2,346",4.3,0.3,,,
Machinery manufacturing,333000,20,"2,531",1.6,0.1,,,
Transportation equipment manufacturing,336000,24,"4,949",1.0,0.1,,,
Service providing,"22, 42, 44, 45, 48, 49, 51, 52, 53, 54, 55, 56, 61, 62, 71, 72, 81, 99","2,707","189,536",2.8,0.0,,,
"Trade, transportation, and utilities","42, 44, 45, 48, 49, 22","1,371","50,315",5.4,0.1,,,
Wholesale trade,42,174,"7,316",4.8,0.2,,,
"Merchant wholesalers, durable goods",423000,85,"3,263",5.2,0.3,,,
"Machinery, equipment, and supplies merchant wholesalers     ",423800,19,705,5.4,0.5,,,
Recyclable material merchant wholesalers,423930,15,217,13.8,2.6,,,
"Merchant wholesalers, nondurable goods",424000,87,"3,726",4.7,0.2,,,
Grocery and related products merchant wholesalers ,424400,39,"1,790",4.4,0.3,,,
Retail trade,"44, 45",287,"29,214",2.0,0.0,,,
Motor vehicle and parts dealers,441000,54,"4,260",2.5,0.1,,,
Automobile dealers ,441100,28,"3,002",1.9,0.1,,,
"Automotive parts, accessories, and tire stores  ",441300,19,982,3.7,0.3,,,
Building material and garden equipment and supplies dealers,444000,30,"2,819",2.1,0.1,,,
Food and beverage stores,445000,60,"5,267",2.3,0.1,,,
Grocery stores ,445100,49,"4,596",2.1,0.1,,,
Gasoline stations ,447000,37,886,8.3,0.8,,,
Miscellaneous store retailers,453000,23,"1,849",2.5,0.1,,,
Nonstore retailers,454000,21,"1,308",3.2,0.2,,,
Transportation and warehousing     ,"48, 49",882,"11,636",15.1,0.5,,,
Air transportation ,481000,21,"1,053",3.8,0.3,,,
Rail transportation ,482000,11,440,5.0,0.7,,,
Water transportation ,483000,13,154,16.9,4.1,,,
Truck transportation ,484000,599,"4,280",28.0,1.5,,,
Transit and ground passenger transportation,485000,64,"1,593",8.0,0.6,,,
Bus service and urban transit ,485000 except 485300,15,596,5.0,0.5,,,
Taxi and limousine service ,485300,49,996,9.8,0.9,,,
Support activities for transportation ,488000,90,"1,392",12.8,1.0,,,
Couriers and messengers,492000,51,"1,383",7.2,0.6,,,
Warehousing and storage ,493000,22,"1,162",3.8,0.3,,,
Utilities,22,28,"2,150",2.6,0.2,,,
Information ,51,43,"5,272",1.6,0.1,,,
Publishing industries (except internet),511000,10,958,2.1,0.2,,,
Newspaper publishers,511110,8,331,4.8,0.7,,,
Financial activities,"52, 53",101,"20,023",1.0,0.0,,,
Finance and insurance,52,32,"14,213",0.5,0.0,,,
Real estate and rental and leasing,53,69,"5,809",2.4,0.1,,,
Real estate ,531000,48,"5,025",1.9,0.1,,,
Rental and leasing services,532000,21,784,5.4,0.6,,,
Professional and business services,"54, 55, 56",532,"34,997",3.0,0.0,,,
"Professional, scientific, and technical services",54,69,"22,455",0.6,0.0,,,
"Architectural, engineering, and related services ",541300,18,"3,405",1.1,0.0,,,
"Management, administrative, and waste services","55, 56",463,"12,542",7.4,0.2,,,
Employment services ,561300,38,"1,737",4.4,0.3,,,
Investigation and security services ,561600,55,"1,597",6.9,0.5,,,
Services to buildings and dwellings (except landscaping services) ,"561700, except 561730",65,"2,934",4.4,0.2,,,
Landscaping services,561730,214,"2,515",16.9,1.0,,,
Waste management and remediation services ,562000,63,917,13.7,1.4,,,
Educational and health services,"61, 62",189,"42,908",0.8,0.0,,,
Educational services,61,43,"8,118",1.0,0.0,,,
Health care and social assistance,62,146,"34,790",0.8,0.0,,,
Ambulatory health care services,621000,65,"13,726",0.9,0.0,,,
Hospitals ,622000,21,"11,884",0.3,0.0,,,
Nursing and residential care facilities,623000,31,"4,360",1.4,0.1,,,
Social assistance,624000,28,"4,820",1.0,0.0,,,
Leisure and hospitality,"71, 72",262,"22,902",2.2,0.0,,,
"Arts, entertainment, and recreation",71,91,"5,002",3.2,0.1,,,
"Performing arts, spectator sports, and related industries",711000,38,"1,475",4.9,0.4,,,
"Amusement, gambling, and recreation industries (except bowling centers)  ","713000, except 713950",48,"3,151",2.7,0.1,,,
Accommodation and food services,72,171,"17,900",1.9,0.0,,,
Accommodation ,721000,33,"2,685",2.4,0.1,,,
Traveler accommodation ,721100,26,"2,526",2.0,0.1,,,
Food services and drinking places,722000,138,"15,215",1.8,0.0,,,
Restaurants and other food services ,"722000, except 722400",112,"14,781",1.5,0.0,,,
Drinking places (alcoholic beverages),722400,26,435,12.0,1.6,,,
"Other services, except public administration",81,205,"13,119",2.9,0.1,,,
Repair and maintenance,811000,132,"4,143",6.3,0.3,,,
Automotive repair and maintenance (except car washes),"811100, except 811192",86,"2,502",6.9,0.4,,,
Personal and laundry services,812000,36,"4,469",1.4,0.1,,,
"Religious, grantmaking, civic, professional, and similar organizations",813000,35,"3,590",1.4,0.1,,,
Government11,no data,473,"38,126",2.0,0.0,,,
Federal government,no data,116,"7,023",1.3,0.1,,,
State government,no data,91,"12,792",1.4,0.0,,,
Local government,no data,265,"18,311",2.6,0.1,,,
,,,,,,,,
"     1 Workers under the age of 16 years, volunteer workers, and members of the resident military are not included in rate calculations to maintain consistency with the Current Population",,,,,,,,
 Survey (CPS) employment. The total fatal injuries column represents total published fatal injuries before the exclusions.,,,,,,,,
"     2 The total hours worked figures are annual average estimates of total at work multiplied by average hours for civilians, 16 years of age and older, from the CPS, 2017.",,,,,,,,
"     3 The rate represents the number of fatal occupational injuries per 100,000 full-time equivalent workers and was calculated as:",,,,,,,,
"(N/EH) x 200,000,000 where",,,,,,,,
     N                  = the number of fatal work injuries ,,,,,,,,
     EH                = total hours worked by all employees during the calendar year,,,,,,,,
"     200,000,000 = base for 100,000 equivalent full-time workers (working 40 hours per week, 50 weeks per year)",,,,,,,,
    4 Fatal injury rates rely on the census figures from the Census of Fatal Occupational Injuries (CFOI) and the employment from the CPS. CPS is a sample of households that is designed to,,,,,,,,
"represent the civilian noninstitutional population of the United States. Sampling errors occur in the CPS because observations are made on a sample, not on the entire population. The margin of ",,,,,,,,
"error (MOE) is a measure of dispersion around the estimated fatal injury rate, expressed at the 95% confidence level. For more on confidence intervals, see https://www.bls.gov/iif/osh_rse.htm.",,,,,,,,
     5 May include volunteers and workers receiving other types of compensation.,,,,,,,,
"     6 Includes self-employed workers, owners of unincorporated businesses and farms, paid and unpaid family workers, and may include some owners of incorporated businesses or",,,,,,,,
members of partnerships.,,,,,,,,
     7 Persons identified as Hispanic or Latino may be of any race.  The race categories shown exclude data for Hispanics and Latinos.,,,,,,,,
"     8 Occupation data are based on the Standard Occupational Classification (SOC) system, 2010.",,,,,,,,
"     9 Industry data are based on the North American Industry Classification System (NAICS), 2012.",,,,,,,,
"     10 Includes fatal injuries at all establishments categorized as Mining, quarrying, and oil and gas extraction (Sector 21) in the NAICS including establishments not governed by the Mine Safety",,,,,,,,
" and Health Administration (MSHA) rules and reporting, such as those in Oil and gas extraction.",,,,,,,,
     11 Includes fatal injuries to workers employed by governmental organizations regardless of industry.,,,,,,,,
"Note: Selected rate categories had 5 or more reported fatal work injuries in 2017 and 40 million or more work hours (20,000 full-time equivalent employees). Rates produced in prior",,,,,,,,
years may not appear if they do not meet this threshold in 2017. Totals for major categories may include subcategories not shown separately. Figures may not add to totals because of ,,,,,,,,
rounding. CFOI fatality counts exclude illness-related deaths unless precipitated by an injury event.  ,,,,,,,,
"Source:  U.S. Bureau of Labor Statistics, Current Population Survey, Census of Fatal Occupational Injuries, 2020.",,,,,,,,
